# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#      k [h/Mpc]           P_cdm          P_vcdm           P_bar          P_vbar         P_total        P_vtotal
          15.631     7.33771e-07     1.97155e-07     7.26622e-07      1.9713e-07     7.25974e-07     1.97151e-07
         16.5071      6.3505e-07      1.7063e-07     6.28883e-07     1.70611e-07     6.28305e-07     1.70627e-07
         17.4323     5.49495e-07     1.47643e-07      5.4418e-07     1.47629e-07     5.43662e-07     1.47641e-07
         18.4094     4.75368e-07     1.27727e-07     4.70789e-07     1.27716e-07     4.70325e-07     1.27725e-07
         19.4413     4.11157e-07     1.10474e-07     4.07215e-07     1.10467e-07     4.06798e-07     1.10473e-07
          20.531     3.55548e-07     9.55333e-08     3.52157e-07     9.55292e-08     3.51782e-07     9.55327e-08
         21.6818       3.074e-07     8.25967e-08     3.04486e-07     8.25951e-08     3.04146e-07     8.25965e-08
         22.8971      2.6572e-07      7.1398e-08     2.63218e-07     7.13984e-08      2.6291e-07     7.13981e-08
         24.1805     2.29648e-07     6.17059e-08     2.27501e-07      6.1708e-08     2.27222e-07     6.17062e-08
         25.5358     1.98435e-07     5.33194e-08     1.96595e-07     5.33229e-08     1.96341e-07       5.332e-08
         26.9671     1.71432e-07     4.60642e-08     1.69858e-07     4.60689e-08     1.69626e-07     4.60649e-08
         28.4786     1.48077e-07     3.97889e-08     1.46731e-07     3.97945e-08     1.46518e-07     3.97898e-08
         30.0749      1.2788e-07     3.43623e-08     1.26731e-07     3.43686e-08     1.26536e-07     3.43633e-08
         31.7606     1.10418e-07     2.96704e-08     1.09439e-07     2.96773e-08      1.0926e-07     2.96715e-08
         33.5408     9.53228e-08     2.56146e-08      9.4491e-08      2.5622e-08     9.43251e-08     2.56158e-08
         35.4208      8.2277e-08     2.21094e-08     8.15714e-08     2.21171e-08     8.14178e-08     2.21106e-08
         37.4061     7.10042e-08     1.90804e-08     7.04071e-08     1.90884e-08     7.02646e-08     1.90817e-08
         39.5028     6.12651e-08     1.64636e-08     6.07613e-08     1.64718e-08     6.06287e-08     1.64649e-08
         41.7169     5.28526e-08     1.42033e-08      5.2429e-08     1.42115e-08     5.23054e-08     1.42046e-08
         44.0552     4.55874e-08     1.22511e-08     4.52325e-08     1.22594e-08      4.5117e-08     1.22524e-08
         46.5245      3.9314e-08     1.05655e-08     3.90181e-08     1.05737e-08       3.891e-08     1.05668e-08
         49.1323     3.38981e-08     9.11023e-09     3.36526e-08     9.11839e-09     3.35512e-08     9.11152e-09
